Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
us_chad_sh600153,us_chad_建发股份,1.19,-0.22,1,-0.022,-10.30,1
sz300087_us_chad,荃银高科_us_chad,4.26,-16.94,1,0.008,-21.60,1
us_chad_sh600656,us_chad_退市博元,4.60,-19.60,2,-0.007,-25.80,1
us_chad_sz000813,us_chad_天山纺织,4.62,-18.82,1,-0.076,-22.31,1
sh600155_us_chad,宝硕股份_us_chad,4.71,-16.03,1,-0.037,-24.11,1
us_chad_sz000707,us_chad_双环科技,4.72,-29.60,1,-0.035,-27.86,0
sz300180_us_chad,华峰超纤_us_chad,4.79,-8.63,1,-0.016,-1.91,2
us_chad_sh601567,us_chad_三星医疗,4.82,-18.69,1,-0.031,-19.44,0
sz300144_us_chad,宋城演艺_us_chad,4.83,-1.17,1,0.016,-4.72,0
sz300406_us_chad,九强生物_us_chad,5.08,-18.28,1,-0.030,-22.05,0
us_chad_sz300138,us_chad_晨光生物,5.22,-10.64,1,0.026,-7.78,0
sh600356_us_chad,恒丰纸业_us_chad,5.25,-16.30,1,-0.014,-15.78,0
us_chad_sz002573,us_chad_清新环境,5.27,-5.75,1,0.009,-5.21,0
sz300238_us_chad,冠昊生物_us_chad,5.31,-13.86,1,-0.017,-24.84,1
us_chad_sh600817,us_chad_*ST;宏盛,5.32,1.29,2,0.072,33.54,2
us_chad_sz000799,us_chad_酒鬼酒,5.39,-16.50,1,-0.032,-3.02,2
sz002356_us_chad,浩宁达_us_chad,5.40,-21.41,1,-0.035,-28.87,1
sz300360_us_chad,炬华科技_us_chad,5.43,-26.57,1,-0.074,-31.32,1
sz000708_us_chad,大冶特钢_us_chad,5.46,-12.68,1,0.047,-13.28,0
sz300292_us_chad,吴通控股_us_chad,5.48,-13.74,1,0.066,-15.51,0
us_chad_sz002532,us_chad_新界泵业,5.56,-41.98,1,-0.044,-43.76,0
sz002206_us_chad,&#x6d77 ;&#x5229 ;得_us_chad,5.58,-11.91,1,-0.037,-12.02,0
sz300402_us_chad,宝色股份_us_chad,5.60,-21.90,1,-0.026,-27.73,1
sz002705_us_chad,新宝股份_us_chad,5.60,-7.81,1,-0.010,-10.50,0
sz900917_us_chad,5:null};_us_chad,5.63,-13.70,1,0.006,-15.70,0
sz002707_us_chad,众信旅游_us_chad,5.66,-15.73,1,-0.071,-19.08,0
sz900926_us_chad,5:null};_us_chad,5.71,-10.99,1,-0.054,-50.33,1
us_chad_sz300258,us_chad_精锻科技,5.73,-12.90,1,-0.041,-5.97,2
us_chad_sz002718,us_chad_友邦吊顶,5.75,-16.83,1,0.004,-13.98,0
sz300145_us_chad,中金环境_us_chad,5.77,-9.50,1,-0.020,-11.48,0
us_chad_sh601222,us_chad_林洋能源,5.79,-7.98,1,-0.023,-15.17,1
sh600099_us_chad,林海股份_us_chad,5.83,-15.10,1,-0.069,-17.80,0
us_chad_sh600660,us_chad_福耀玻璃,5.84,1.80,1,-0.006,-0.08,0
us_chad_sh601003,us_chad_柳钢股份,5.88,-33.94,1,-0.069,-34.49,0
sh603333_us_chad,明星电缆_us_chad,5.89,-25.04,1,-0.014,-34.85,1
sz300305_us_chad,裕兴股份_us_chad,5.93,-15.18,1,-0.002,-17.76,0
sz002435_us_chad,长江润发_us_chad,5.93,-13.22,1,0.003,-15.16,0
sz300498_us_chad,温氏股份_us_chad,5.93,-14.13,1,-0.033,-20.04,1
us_chad_sz000488,us_chad_晨鸣纸业,5.97,-16.29,1,-0.045,-17.22,0
sz900942_us_chad,5:null};_us_chad,6.00,2.17,1,0.028,9.72,2
us_chad_sz002516,us_chad_旷达科技,6.01,-18.38,1,-0.046,-20.74,0
us_chad_sz300104,us_chad_乐视网,6.05,-5.89,1,-0.068,1.03,2
us_chad_sz002660,us_chad_茂硕电源,6.07,-20.71,1,-0.006,-19.19,0
sz300043_us_chad,互动娱乐_us_chad,6.08,-16.71,1,-0.057,-24.88,1
sh600777_us_chad,新潮实业_us_chad,6.08,-0.66,1,-0.049,-2.29,0
sz900911_us_chad,5:null};_us_chad,6.10,-8.26,1,-0.053,-11.93,0
sz300403_us_chad,地尔汉宇_us_chad,6.11,-13.76,1,-0.031,-20.90,1
sz300017_us_chad,网宿科技_us_chad,6.11,4.58,1,0.019,13.06,2
sz300172_us_chad,中电环保_us_chad,6.11,-16.94,1,-0.060,-23.82,1
us_chad_sh600459,us_chad_贵研铂业,6.12,-21.83,1,-0.054,-25.67,0
us_chad_sz300200,us_chad_高盟新材,6.13,-19.53,1,-0.029,-19.22,0
us_chad_sz300307,us_chad_慈星股份,6.14,-18.55,1,-0.023,1.73,2
sz900941_us_chad,5:null};_us_chad,6.15,-15.80,1,-0.045,-21.28,1
sz900919_us_chad,5:null};_us_chad,6.17,-9.36,1,-0.027,-16.28,1
us_chad_sh600197,us_chad_伊力特,6.17,-11.34,1,-0.027,-5.21,2
us_chad_sz002039,us_chad_黔源电力,6.20,-5.07,1,-0.024,-4.37,0
us_chad_sh600066,us_chad_宇通客车,6.21,9.52,1,-0.041,9.45,0
us_chad_sz002138,us_chad_顺络电子,6.24,-24.91,1,-0.028,-17.70,2
us_chad_sz300127,us_chad_银河磁体,6.27,-16.71,1,-0.022,-7.51,2
sz900940_us_chad,5:null};_us_chad,6.27,-17.85,1,-0.053,-20.57,0
sz900938_us_chad,5:null};_us_chad,6.28,-15.28,1,-0.069,-10.27,0
sh603898_us_chad,好莱客_us_chad,6.29,-41.49,1,0.019,-37.33,2
us_chad_sz000582,us_chad_北部湾港,6.30,-10.44,1,-0.065,-29.15,1
us_chad_sz002541,us_chad_鸿路钢构,6.31,-19.62,1,-0.053,-26.03,1
us_chad_sz300068,us_chad_南都电源,6.32,-23.25,1,-0.029,-22.71,0
sh600498_us_chad,烽火通信_us_chad,6.33,-10.74,1,-0.053,-17.83,1
us_chad_sz002304,us_chad_洋河股份,6.33,1.19,1,-0.028,3.07,0
sz002700_us_chad,新疆浩源_us_chad,6.35,-17.75,1,-0.006,-25.24,1
us_chad_sz300123,us_chad_太阳鸟,6.36,-21.92,1,-0.060,-20.26,0
